epoch,model,seq_len,pred_len,data,batch_size,train_loss,vali_loss,test_loss,time_cost,learning_rate,date
55,MyLinearModels,336,24,ETTh1,16,0.24372,0.4177,0.3219,7.8,0.0,2025-04-22 13:55:37
56,MyLinearModels,336,24,ETTh1,16,0.24362,0.41738,0.3219,8.04,0.0,2025-04-22 13:55:46
57,MyLinearModels,336,24,ETTh1,16,0.24363,0.41796,0.3219,8.13,0.0,2025-04-22 13:55:54
58,MyLinearModels,336,24,ETTh1,16,0.24362,0.41773,0.3219,8.44,0.0,2025-04-22 13:56:02
59,MyLinearModels,336,24,ETTh1,16,0.24369,0.41659,0.3219,7.94,0.0,2025-04-22 13:56:10
60,MyLinearModels,336,24,ETTh1,16,0.24369,0.41716,0.3219,8.13,0.0,2025-04-22 13:56:18
61,MyLinearModels,336,24,ETTh1,16,0.24371,0.41757,0.3219,8.17,0.0,2025-04-22 13:56:26
62,MyLinearModels,336,24,ETTh1,16,0.24361,0.41795,0.3219,8.31,0.0,2025-04-22 13:56:35
63,MyLinearModels,336,24,ETTh1,16,0.24369,0.41717,0.3219,8.42,0.0,2025-04-22 13:56:43
64,MyLinearModels,336,24,ETTh1,16,0.24366,0.41775,0.3219,8.03,0.0,2025-04-22 13:56:51
65,MyLinearModels,336,24,ETTh1,16,0.24358,0.41664,0.3219,7.98,0.0,2025-04-22 13:56:59
66,MyLinearModels,336,24,ETTh1,16,0.24361,0.41765,0.3219,8.09,0.0,2025-04-22 13:57:07
67,MyLinearModels,336,24,ETTh1,16,0.2437,0.41792,0.3219,9.27,0.0,2025-04-22 13:57:16
68,MyLinearModels,336,24,ETTh1,16,0.24369,0.41685,0.3219,7.71,0.0,2025-04-22 13:57:24
69,MyLinearModels,336,24,ETTh1,16,0.24364,0.41726,0.3219,8.1,0.0,2025-04-22 13:57:32
70,MyLinearModels,336,24,ETTh1,16,0.24372,0.41666,0.3219,7.93,0.0,2025-04-22 13:57:40
71,MyLinearModels,336,24,ETTh1,16,0.24365,0.41674,0.3219,8.02,0.0,2025-04-22 13:57:48
72,MyLinearModels,336,24,ETTh1,16,0.24372,0.41675,0.3219,7.83,0.0,2025-04-22 13:57:56
73,MyLinearModels,336,24,ETTh1,16,0.24368,0.41698,0.3219,7.95,0.0,2025-04-22 13:58:04
74,MyLinearModels,336,24,ETTh1,16,0.24359,0.41731,0.3219,8.3,0.0,2025-04-22 13:58:12
75,MyLinearModels,336,24,ETTh1,16,0.24371,0.41778,0.3219,8.19,0.0,2025-04-22 13:58:21
76,MyLinearModels,336,24,ETTh1,16,0.24373,0.4169,0.3219,7.89,0.0,2025-04-22 13:58:28
77,MyLinearModels,336,24,ETTh1,16,0.24369,0.41672,0.3219,8.12,0.0,2025-04-22 13:58:37
78,MyLinearModels,336,24,ETTh1,16,0.24374,0.41743,0.3219,8.42,0.0,2025-04-22 13:58:45
79,MyLinearModels,336,24,ETTh1,16,0.24365,0.4173,0.3219,8.44,0.0,2025-04-22 13:58:53
80,MyLinearModels,336,24,ETTh1,16,0.24368,0.41768,0.3219,8.19,0.0,2025-04-22 13:59:02
81,MyLinearModels,336,24,ETTh1,16,0.24369,0.41748,0.3219,8.09,0.0,2025-04-22 13:59:10
82,MyLinearModels,336,24,ETTh1,16,0.24371,0.4177,0.3219,8.16,0.0,2025-04-22 13:59:18
83,MyLinearModels,336,24,ETTh1,16,0.24361,0.41742,0.3219,8.07,0.0,2025-04-22 13:59:26
84,MyLinearModels,336,24,ETTh1,16,0.24366,0.4171,0.3219,7.94,0.0,2025-04-22 13:59:34
85,MyLinearModels,336,24,ETTh1,16,0.2437,0.41725,0.3219,8.07,0.0,2025-04-22 13:59:42
86,MyLinearModels,336,24,ETTh1,16,0.24357,0.41781,0.3219,8.13,0.0,2025-04-22 13:59:50
87,MyLinearModels,336,24,ETTh1,16,0.24359,0.41746,0.3219,8.27,0.0,2025-04-22 13:59:58
88,MyLinearModels,336,24,ETTh1,16,0.24348,0.41788,0.3219,8.21,0.0,2025-04-22 14:00:07
89,MyLinearModels,336,24,ETTh1,16,0.2436,0.41745,0.3219,8.01,0.0,2025-04-22 14:00:15
90,MyLinearModels,336,24,ETTh1,16,0.24361,0.41723,0.3219,8.27,0.0,2025-04-22 14:00:23
91,MyLinearModels,336,24,ETTh1,16,0.24374,0.41739,0.3219,8.2,0.0,2025-04-22 14:00:31
