epoch,model,seq_len,pred_len,data,batch_size,train_loss,vali_loss,test_loss,time_cost,learning_rate,date
58,GLinear,336,24,ETTh1,16,0.19022,0.42855,0.31399,9.4,0.0,2025-04-19 13:50:02
59,GLinear,336,24,ETTh1,16,0.19031,0.42918,0.31399,9.04,0.0,2025-04-19 13:50:12
60,GLinear,336,24,ETTh1,16,0.19031,0.4285,0.31399,9.97,0.0,2025-04-19 13:50:21
61,GLinear,336,24,ETTh1,16,0.19028,0.42857,0.31399,10.4,0.0,2025-04-19 13:50:32
62,GLinear,336,24,ETTh1,16,0.19025,0.42959,0.31399,11.27,0.0,2025-04-19 13:50:43
63,GLinear,336,24,ETTh1,16,0.19026,0.42814,0.31399,11.12,0.0,2025-04-19 13:50:54
64,GLinear,336,24,ETTh1,16,0.19028,0.42943,0.31399,9.5,0.0,2025-04-19 13:51:04
65,GLinear,336,24,ETTh1,16,0.19027,0.42886,0.31399,8.69,0.0,2025-04-19 13:51:12
66,GLinear,336,24,ETTh1,16,0.1903,0.42955,0.31399,8.53,0.0,2025-04-19 13:51:21
67,GLinear,336,24,ETTh1,16,0.19024,0.429,0.31399,8.78,0.0,2025-04-19 13:51:30
68,GLinear,336,24,ETTh1,16,0.19023,0.42807,0.31399,8.83,0.0,2025-04-19 13:51:39
69,GLinear,336,24,ETTh1,16,0.19034,0.42897,0.31399,8.79,0.0,2025-04-19 13:51:47
70,GLinear,336,24,ETTh1,16,0.19029,0.42825,0.31399,8.93,0.0,2025-04-19 13:51:56
71,GLinear,336,24,ETTh1,16,0.19034,0.42894,0.31399,8.89,0.0,2025-04-19 13:52:05
72,GLinear,336,24,ETTh1,16,0.19032,0.4291,0.31399,8.69,0.0,2025-04-19 13:52:14
73,GLinear,336,24,ETTh1,16,0.19032,0.42875,0.31399,8.92,0.0,2025-04-19 13:52:23
74,GLinear,336,24,ETTh1,16,0.1903,0.42863,0.31399,8.99,0.0,2025-04-19 13:52:32
75,GLinear,336,24,ETTh1,16,0.19027,0.42962,0.31399,8.82,0.0,2025-04-19 13:52:41
76,GLinear,336,24,ETTh1,16,0.19028,0.42896,0.31399,8.7,0.0,2025-04-19 13:52:49
77,GLinear,336,24,ETTh1,16,0.1903,0.42866,0.31399,8.57,0.0,2025-04-19 13:52:58
78,GLinear,336,24,ETTh1,16,0.19027,0.42918,0.31399,8.62,0.0,2025-04-19 13:53:07
79,GLinear,336,24,ETTh1,16,0.19031,0.42928,0.31399,8.8,0.0,2025-04-19 13:53:15
80,GLinear,336,24,ETTh1,16,0.19022,0.42844,0.31399,8.6,0.0,2025-04-19 13:53:24
81,GLinear,336,24,ETTh1,16,0.19024,0.42961,0.31399,9.0,0.0,2025-04-19 13:53:33
82,GLinear,336,24,ETTh1,16,0.19026,0.42868,0.31399,8.68,0.0,2025-04-19 13:53:42
83,GLinear,336,24,ETTh1,16,0.19024,0.42909,0.31399,8.52,0.0,2025-04-19 13:53:50
84,GLinear,336,24,ETTh1,16,0.19024,0.42923,0.31399,8.89,0.0,2025-04-19 13:53:59
85,GLinear,336,24,ETTh1,16,0.19028,0.42902,0.31399,8.77,0.0,2025-04-19 13:54:08
86,GLinear,336,24,ETTh1,16,0.1903,0.42881,0.31399,9.04,0.0,2025-04-19 13:54:17
87,GLinear,336,24,ETTh1,16,0.19023,0.42858,0.31399,8.6,0.0,2025-04-19 13:54:25
88,GLinear,336,24,ETTh1,16,0.19028,0.42859,0.31399,8.81,0.0,2025-04-19 13:54:34
89,GLinear,336,24,ETTh1,16,0.19029,0.4284,0.31399,8.79,0.0,2025-04-19 13:54:43
90,GLinear,336,24,ETTh1,16,0.19023,0.42921,0.31399,8.85,0.0,2025-04-19 13:54:52
91,GLinear,336,24,ETTh1,16,0.19024,0.42952,0.31399,9.14,0.0,2025-04-19 13:55:01
92,GLinear,336,24,ETTh1,16,0.19026,0.42942,0.31399,8.8,0.0,2025-04-19 13:55:10
93,GLinear,336,24,ETTh1,16,0.19024,0.4296,0.31399,8.56,0.0,2025-04-19 13:55:18
94,GLinear,336,24,ETTh1,16,0.19033,0.42905,0.31399,8.85,0.0,2025-04-19 13:55:27
95,GLinear,336,24,ETTh1,16,0.19035,0.42825,0.31399,8.78,0.0,2025-04-19 13:55:36
